Threshold,Malicious Rate,Gossipers Rate,Correct Info
0.3,0.1,1,"[1, 216, 226, 230]"
0.3,0.1,4,"[4, 562, 582, 590, 602, 608, 621, 622, 623, 623, 623, 623, 623, 623, 623, 623, 623, 623]"
0.3,0.1,8,"[8, 672, 711, 728, 733, 733, 733, 733, 733, 733]"
0.3,0.1,16,"[16, 911, 1003, 1037, 1042, 1042, 1042, 1042]"
0.3,0.1,32,"[32, 1228, 1349, 1369, 1369, 1369]"
0.3,0.2,1,"[1, 202, 210, 213]"
0.3,0.2,4,"[4, 492, 512, 520, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525]"
0.3,0.2,8,"[8, 583, 610, 614, 614, 614, 614, 614, 614, 614]"
0.3,0.2,16,"[16, 811, 882, 896, 896, 896, 896, 896]"
0.3,0.2,32,"[32, 1089, 1187, 1228, 1232, 1233]"
0.3,0.3,1,"[1, 171, 174, 176]"
0.3,0.3,4,"[4, 432, 440, 442, 442, 442, 442, 442, 442, 442, 442, 442, 442, 442, 442, 442, 442, 442, 442]"
0.3,0.3,8,"[8, 515, 536, 542, 545, 545, 545, 545, 545, 545]"
0.3,0.3,16,"[16, 705, 745, 757, 757, 757, 757, 757]"
0.3,0.3,32,"[32, 947, 1025, 1030, 1030, 1030]"
0.3,0.4,1,"[1, 158, 163, 164]"
0.3,0.4,4,"[4, 388, 393, 395, 395, 395, 395, 395, 395, 395, 395, 395, 395, 395, 395, 395, 395, 395, 395]"
0.3,0.4,8,"[8, 444, 462, 465, 465, 465, 465, 465, 465]"
0.3,0.4,16,"[16, 611, 640, 650, 650, 650, 650, 650]"
0.3,0.4,32,"[32, 833, 878, 880, 880, 880]"
0.3,0.5,1,"[1, 125, 129, 131]"
0.3,0.5,4,"[4, 305, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310]"
0.3,0.5,8,"[8, 383, 398, 401, 401, 401, 401, 401]"
0.3,0.5,16,"[16, 498, 516, 517, 517, 517, 517]"
0.3,0.5,32,"[32, 689, 730, 732, 732]"
0.3,0.6,1,"[1, 105, 106, 106]"
0.3,0.6,4,"[4, 242, 248, 249, 249, 249, 249, 249, 249, 249, 249, 249, 249, 249, 249, 249, 249, 249, 249]"
0.3,0.6,8,"[8, 289, 297, 298, 298, 298, 298, 298, 298]"
0.3,0.6,16,"[16, 414, 427, 428, 428, 428, 428, 428]"
0.3,0.6,32,"[32, 540, 557, 557, 557, 557]"
0.4,0.05,1,"[1, 204, 209, 211]"
0.4,0.05,4,"[4, 536, 548, 554]"
0.4,0.05,8,"[8, 637, 653, 662, 665, 666]"
0.4,0.05,16,"[16, 893, 948, 990, 998, 1005, 1005, 1005, 1005, 1005, 1005]"
0.4,0.05,32,"[32, 1223, 1335, 1404, 1436, 1437, 1437, 1437]"
0.4,0.1,1,"[1, 195, 200, 202]"
0.4,0.1,4,"[4, 507, 517, 521]"
0.4,0.1,8,"[8, 611, 626, 631, 631, 631]"
0.4,0.1,16,"[16, 853, 900, 932, 940, 945, 945, 945, 945, 945, 945]"
0.4,0.1,32,"[32, 1165, 1249, 1275, 1275, 1275, 1275, 1275]"
0.4,0.2,1,"[1, 177, 181, 183]"
0.4,0.2,4,"[4, 448, 453, 457]"
0.4,0.2,8,"[8, 546, 557, 561, 562, 562]"
0.4,0.2,16,"[16, 751, 783, 794, 795, 795, 795, 795, 795, 795, 795]"
0.4,0.2,32,"[32, 1028, 1084, 1094, 1094, 1094, 1094, 1094]"
0.4,0.3,1,"[1, 160, 163, 163]"
0.4,0.3,4,"[4, 411, 416, 418]"
0.4,0.3,8,"[8, 463, 469, 473, 474, 475]"
0.4,0.3,16,"[16, 650, 679, 688, 688, 688, 688, 688, 688, 688, 688, 688]"
0.4,0.3,32,"[32, 903, 949, 952, 952, 952, 952]"
0.4,0.4,1,"[1, 130, 134, 135]"
0.4,0.4,4,"[4, 348, 353, 355]"
0.4,0.4,8,"[8, 403, 411, 414, 414, 414]"
0.4,0.4,16,"[16, 578, 601, 608, 609, 609, 609, 609, 609, 609]"
0.4,0.4,32,"[32, 777, 811, 812, 812, 812, 812, 812]"
0.4,0.5,1,"[1, 109, 109, 109]"
0.4,0.5,4,"[4, 279, 280, 281]"
0.4,0.5,8,"[8, 333, 337, 337, 337, 337]"
0.4,0.5,16,"[16, 486, 492, 492, 492, 492, 492, 492, 492, 492, 492]"
0.4,0.5,32,"[32, 640, 662, 664, 664, 664, 664]"
0.4,0.6,1,"[1, 85, 86, 86]"
0.4,0.6,4,"[4, 245, 245, 245]"
0.4,0.6,8,"[8, 266, 268, 268, 268]"
0.4,0.6,16,"[16, 372, 379, 380, 380, 380, 380, 380, 380]"
0.4,0.6,32,"[32, 518, 531, 533, 533, 533, 533]"
0.5,0.05,1,"[1, 200, 201, 201]"
0.5,0.05,4,"[4, 528, 534, 536]"
0.5,0.05,8,"[8, 608, 617, 620]"
0.5,0.05,16,"[16, 870, 894, 900, 900]"
0.5,0.05,32,"[32, 1188, 1263, 1303, 1314, 1314, 1314, 1314, 1314]"
0.5,0.1,1,"[1, 186, 187, 187]"
0.5,0.1,4,"[4, 504, 511, 514]"
0.5,0.1,8,"[8, 566, 577, 580]"
0.5,0.1,16,"[16, 820, 840, 847, 848]"
0.5,0.1,32,"[32, 1125, 1185, 1203, 1204, 1204, 1204, 1204, 1204]"
0.5,0.2,1,"[1, 158, 158, 158]"
0.5,0.2,4,"[4, 441, 445, 447]"
0.5,0.2,8,"[8, 493, 500, 501]"
0.5,0.2,16,"[16, 722, 739, 743, 744]"
0.5,0.2,32,"[32, 1013, 1050, 1063, 1065, 1065, 1065, 1065, 1065]"
0.5,0.3,1,"[1, 141, 142, 142]"
0.5,0.3,4,"[4, 380, 383, 384]"
0.5,0.3,8,"[8, 447, 455, 457]"
0.5,0.3,16,"[16, 631, 644, 647, 648]"
0.5,0.3,32,"[32, 887, 919, 929, 929, 929, 929, 929, 929]"
0.5,0.4,1,"[1, 133, 134, 134]"
0.5,0.4,4,"[4, 337, 341, 342]"
0.5,0.4,8,"[8, 388, 391, 391]"
0.5,0.4,16,"[16, 559, 568, 570, 570]"
0.5,0.4,32,"[32, 750, 766, 768, 768, 768, 768, 768, 768]"
0.5,0.5,1,"[1, 113, 114, 114]"
0.5,0.5,4,"[4, 279, 281, 281]"
0.5,0.5,8,"[8, 335, 336, 336]"
0.5,0.5,16,"[16, 439, 446, 449, 449]"
0.5,0.5,32,"[32, 637, 653, 657, 657, 657, 657, 657, 657]"
0.5,0.6,1,"[1, 86, 86, 86]"
0.5,0.6,4,"[4, 221, 222, 222]"
0.5,0.6,8,"[8, 259, 259, 259]"
0.5,0.6,16,"[16, 356, 361, 363, 363]"
0.5,0.6,32,"[32, 519, 525, 525, 525, 525, 525, 525]"
