Threshold,Malicious Rate,Gossipers Rate,False Info
0.3,0.1,4,"[0, 54, 60, 68, 79, 94, 122, 271, 336, 384, 439, 456, 556, 697, 865, 898, 900, 916]"
0.3,0.1,8,"[0, 69, 90, 171, 446, 559, 734, 794, 798, 813]"
0.3,0.1,16,"[0, 99, 149, 356, 452, 517, 521, 535]"
0.3,0.1,32,"[0, 138, 185, 295, 310, 327]"
0.3,0.2,1,"[0, 47, 52, 53]"
0.3,0.2,4,"[0, 124, 130, 138, 154, 174, 209, 347, 403, 445, 494, 513, 543, 672, 769, 899, 917, 931]"
0.3,0.2,8,"[0, 158, 188, 280, 538, 647, 785, 837, 847, 849]"
0.3,0.2,16,"[0, 199, 268, 468, 559, 614, 617, 633]"
0.3,0.2,32,"[0, 277, 344, 427, 434, 450]"
0.3,0.3,1,"[0, 78, 87, 90]"
0.3,0.3,4,"[0, 184, 199, 212, 227, 250, 272, 363, 443, 488, 530, 564, 585, 667, 780, 900, 915, 925, 926]"
0.3,0.3,8,"[0, 226, 262, 346, 578, 675, 777, 844, 859, 860]"
0.3,0.3,16,"[0, 305, 400, 594, 677, 726, 728, 741]"
0.3,0.3,32,"[0, 419, 507, 613, 620, 633]"
0.3,0.4,1,"[0, 91, 99, 102]"
0.3,0.4,4,"[0, 228, 246, 258, 276, 291, 312, 414, 477, 511, 543, 562, 592, 654, 755, 852, 877, 878, 887]"
0.3,0.4,8,"[0, 297, 338, 422, 631, 720, 825, 861, 872]"
0.3,0.4,16,"[0, 399, 502, 673, 737, 770, 773, 782]"
0.3,0.4,32,"[0, 533, 644, 732, 736, 743]"
0.3,0.5,1,"[0, 124, 127, 130]"
0.3,0.5,4,"[0, 311, 327, 339, 354, 368, 388, 482, 539, 570, 605, 619, 636, 703, 787, 873, 874, 879]"
0.3,0.5,8,"[0, 358, 400, 480, 659, 738, 806, 847]"
0.3,0.5,16,"[0, 512, 623, 772, 821, 853, 854]"
0.3,0.5,32,"[0, 677, 780, 847, 850]"
0.3,0.6,1,"[0, 144, 152, 157]"
0.3,0.6,4,"[0, 374, 390, 401, 416, 432, 451, 532, 585, 619, 656, 667, 682, 708, 777, 815, 862, 863, 867]"
0.3,0.6,8,"[0, 452, 490, 565, 734, 802, 870, 898, 899]"
0.3,0.6,16,"[0, 596, 708, 833, 875, 899, 902, 909]"
0.3,0.6,32,"[0, 826, 941, 1009, 1015, 1017]"
0.4,0.05,1,"[0, 11, 12, 12]"
0.4,0.05,4,"[0, 30, 30, 30]"
0.4,0.05,8,"[0, 32, 35, 35, 35, 35]"
0.4,0.05,16,"[0, 44, 50, 92, 156, 324, 401, 483, 495, 511, 512]"
0.4,0.05,32,"[0, 64, 85, 160, 199, 203, 221, 222]"
0.4,0.1,1,"[0, 20, 21, 21]"
0.4,0.1,4,"[0, 59, 61, 63]"
0.4,0.1,8,"[0, 58, 62, 66, 69, 70]"
0.4,0.1,16,"[0, 84, 98, 150, 212, 354, 440, 500, 533, 549, 550]"
0.4,0.1,32,"[0, 122, 170, 281, 346, 350, 367, 368]"
0.4,0.2,1,"[0, 38, 40, 40]"
0.4,0.2,4,"[0, 118, 125, 126]"
0.4,0.2,8,"[0, 123, 131, 136, 138, 139]"
0.4,0.2,16,"[0, 186, 215, 284, 350, 502, 566, 640, 652, 667, 668]"
0.4,0.2,32,"[0, 259, 334, 453, 514, 518, 531, 532]"
0.4,0.3,1,"[0, 55, 58, 60]"
0.4,0.3,4,"[0, 155, 162, 166]"
0.4,0.3,8,"[0, 206, 219, 223, 225, 225]"
0.4,0.3,16,"[0, 287, 319, 389, 456, 592, 648, 694, 705, 719, 721, 741]"
0.4,0.3,32,"[0, 384, 466, 580, 632, 634, 648]"
0.4,0.4,1,"[0, 85, 87, 88]"
0.4,0.4,4,"[0, 218, 225, 228]"
0.4,0.4,8,"[0, 266, 276, 281, 284, 285]"
0.4,0.4,16,"[0, 359, 390, 456, 521, 631, 701, 738, 756, 768]"
0.4,0.4,32,"[0, 510, 600, 702, 735, 750, 764, 765]"
0.4,0.5,1,"[0, 106, 112, 113]"
0.4,0.5,4,"[0, 287, 295, 297]"
0.4,0.5,8,"[0, 336, 350, 357, 360, 361]"
0.4,0.5,16,"[0, 451, 501, 573, 636, 725, 789, 817, 822, 832, 833]"
0.4,0.5,32,"[0, 647, 745, 840, 874, 878, 891]"
0.4,0.6,1,"[0, 130, 135, 137]"
0.4,0.6,4,"[0, 321, 331, 334]"
0.4,0.6,8,"[0, 403, 416, 420, 422]"
0.4,0.6,16,"[0, 565, 608, 671, 734, 829, 878, 903, 907]"
0.4,0.6,32,"[0, 769, 864, 955, 978, 987, 996]"
0.5,0.05,1,"[0, 3, 4, 5]"
0.5,0.05,4,"[0, 24, 26, 26]"
0.5,0.05,8,"[0, 30, 33, 33]"
0.5,0.05,16,"[0, 35, 37, 39, 40]"
0.5,0.05,32,"[0, 63, 78, 136, 196, 237, 243, 259, 260]"
0.5,0.1,1,"[0, 17, 18, 19]"
0.5,0.1,4,"[0, 48, 49, 49]"
0.5,0.1,8,"[0, 72, 73, 73]"
0.5,0.1,16,"[0, 85, 91, 91, 91]"
0.5,0.1,32,"[0, 126, 156, 235, 304, 339, 343, 358, 359]"
0.5,0.2,1,"[0, 45, 47, 48]"
0.5,0.2,4,"[0, 111, 115, 116]"
0.5,0.2,8,"[0, 145, 149, 151]"
0.5,0.2,16,"[0, 183, 192, 196, 196]"
0.5,0.2,32,"[0, 238, 289, 368, 430, 465, 470, 486, 487]"
0.5,0.3,1,"[0, 62, 63, 64]"
0.5,0.3,4,"[0, 172, 177, 179]"
0.5,0.3,8,"[0, 191, 195, 196]"
0.5,0.3,16,"[0, 274, 286, 290, 290]"
0.5,0.3,32,"[0, 364, 418, 500, 559, 587, 593, 605, 606]"
0.5,0.4,1,"[0, 70, 71, 72]"
0.5,0.4,4,"[0, 215, 219, 220]"
0.5,0.4,8,"[0, 250, 257, 259]"
0.5,0.4,16,"[0, 346, 360, 363, 364]"
0.5,0.4,32,"[0, 501, 572, 656, 715, 736, 741, 756, 757]"
0.5,0.5,1,"[0, 90, 91, 92]"
0.5,0.5,4,"[0, 273, 278, 279]"
0.5,0.5,8,"[0, 303, 312, 314]"
0.5,0.5,16,"[0, 466, 482, 486, 487]"
0.5,0.5,32,"[0, 614, 681, 756, 800, 824, 828, 837, 838]"
0.5,0.6,1,"[0, 117, 119, 120]"
0.5,0.6,4,"[0, 331, 337, 339]"
0.5,0.6,8,"[0, 379, 389, 390]"
0.5,0.6,16,"[0, 549, 562, 563, 564]"
0.5,0.6,32,"[0, 732, 799, 879, 920, 937, 940, 952]"
