Threshold,Malicious Rate,Gossipers Rate,Informed Counts
0.3,0.05,1,"[1, 249, 263, 269]"
0.3,0.05,4,"[4, 616, 642, 658, 681, 703, 745, 904, 970, 1018, 1079, 1099, 1206, 1351, 1530, 1548, 1567, 1584]"
0.3,0.05,8,"[8, 741, 802, 900, 1189, 1307, 1499, 1563, 1566, 1582]"
0.3,0.05,16,"[16, 1010, 1152, 1403, 1512, 1576, 1579, 1592]"
0.3,0.05,32,"[32, 1366, 1536, 1673, 1688, 1704]"
0.3,0.1,1,"[1, 249, 263, 269]"
0.3,0.1,4,"[4, 616, 642, 658, 681, 702, 743, 893, 959, 1007, 1062, 1079, 1179, 1320, 1488, 1521, 1523, 1539]"
0.3,0.1,8,"[8, 741, 801, 899, 1179, 1292, 1467, 1527, 1531, 1546]"
0.3,0.1,16,"[16, 1010, 1152, 1393, 1494, 1559, 1563, 1577]"
0.3,0.1,32,"[32, 1366, 1534, 1664, 1679, 1696]"
0.3,0.2,1,"[1, 249, 262, 266]"
0.3,0.2,4,"[4, 616, 642, 658, 679, 699, 734, 872, 928, 970, 1019, 1038, 1068, 1197, 1294, 1424, 1442, 1456]"
0.3,0.2,8,"[8, 741, 798, 894, 1152, 1261, 1399, 1451, 1461, 1463]"
0.3,0.2,16,"[16, 1010, 1150, 1364, 1455, 1510, 1513, 1529]"
0.3,0.2,32,"[32, 1366, 1531, 1655, 1666, 1683]"
0.3,0.3,1,"[1, 249, 261, 266]"
0.3,0.3,4,"[4, 616, 639, 654, 669, 692, 714, 805, 885, 930, 972, 1006, 1027, 1109, 1222, 1342, 1357, 1367, 1368]"
0.3,0.3,8,"[8, 741, 798, 888, 1123, 1220, 1322, 1389, 1404, 1405]"
0.3,0.3,16,"[16, 1010, 1145, 1351, 1434, 1483, 1485, 1498]"
0.3,0.3,32,"[32, 1366, 1532, 1643, 1650, 1663]"
0.3,0.4,1,"[1, 249, 262, 266]"
0.3,0.4,4,"[4, 616, 639, 653, 671, 686, 707, 809, 872, 906, 938, 957, 987, 1049, 1150, 1247, 1272, 1273, 1282]"
0.3,0.4,8,"[8, 741, 800, 887, 1096, 1185, 1290, 1326, 1337]"
0.3,0.4,16,"[16, 1010, 1142, 1323, 1387, 1420, 1423, 1432]"
0.3,0.4,32,"[32, 1366, 1522, 1612, 1616, 1623]"
0.3,0.5,1,"[1, 249, 256, 261]"
0.3,0.5,4,"[4, 616, 637, 649, 664, 678, 698, 792, 849, 880, 915, 929, 946, 1013, 1097, 1183, 1184, 1189]"
0.3,0.5,8,"[8, 741, 798, 881, 1060, 1139, 1207, 1248]"
0.3,0.5,16,"[16, 1010, 1139, 1289, 1338, 1370, 1371]"
0.3,0.5,32,"[32, 1366, 1510, 1579, 1582]"
0.3,0.6,1,"[1, 249, 258, 263]"
0.3,0.6,4,"[4, 616, 638, 650, 665, 681, 700, 781, 834, 868, 905, 916, 931, 957, 1026, 1064, 1111, 1112, 1116]"
0.3,0.6,8,"[8, 741, 787, 863, 1032, 1100, 1168, 1196, 1197]"
0.3,0.6,16,"[16, 1010, 1135, 1261, 1303, 1327, 1330, 1337]"
0.3,0.6,32,"[32, 1366, 1498, 1566, 1572, 1574]"
0.4,0.05,1,"[1, 215, 221, 223]"
0.4,0.05,4,"[4, 566, 578, 584]"
0.4,0.05,8,"[8, 669, 688, 697, 700, 701]"
0.4,0.05,16,"[16, 937, 998, 1082, 1154, 1329, 1406, 1488, 1500, 1516, 1517]"
0.4,0.05,32,"[32, 1287, 1420, 1564, 1635, 1640, 1658, 1659]"
0.4,0.1,1,"[1, 215, 221, 223]"
0.4,0.1,4,"[4, 566, 578, 584]"
0.4,0.1,8,"[8, 669, 688, 697, 700, 701]"
0.4,0.1,16,"[16, 937, 998, 1082, 1152, 1299, 1385, 1445, 1478, 1494, 1495]"
0.4,0.1,32,"[32, 1287, 1419, 1556, 1621, 1625, 1642, 1643]"
0.4,0.2,1,"[1, 215, 221, 223]"
0.4,0.2,4,"[4, 566, 578, 583]"
0.4,0.2,8,"[8, 669, 688, 697, 700, 701]"
0.4,0.2,16,"[16, 937, 998, 1078, 1145, 1297, 1361, 1435, 1447, 1462, 1463]"
0.4,0.2,32,"[32, 1287, 1418, 1547, 1608, 1612, 1625, 1626]"
0.4,0.3,1,"[1, 215, 221, 223]"
0.4,0.3,4,"[4, 566, 578, 584]"
0.4,0.3,8,"[8, 669, 688, 696, 699, 700]"
0.4,0.3,16,"[16, 937, 998, 1077, 1144, 1280, 1336, 1382, 1393, 1407, 1409, 1429]"
0.4,0.3,32,"[32, 1287, 1415, 1532, 1584, 1586, 1600]"
0.4,0.4,1,"[1, 215, 221, 223]"
0.4,0.4,4,"[4, 566, 578, 583]"
0.4,0.4,8,"[8, 669, 687, 695, 698, 699]"
0.4,0.4,16,"[16, 937, 991, 1064, 1130, 1240, 1310, 1347, 1365, 1377]"
0.4,0.4,32,"[32, 1287, 1411, 1514, 1547, 1562, 1576, 1577]"
0.4,0.5,1,"[1, 215, 221, 222]"
0.4,0.5,4,"[4, 566, 575, 578]"
0.4,0.5,8,"[8, 669, 687, 694, 697, 698]"
0.4,0.5,16,"[16, 937, 993, 1065, 1128, 1217, 1281, 1309, 1314, 1324, 1325]"
0.4,0.5,32,"[32, 1287, 1407, 1504, 1538, 1542, 1555]"
0.4,0.6,1,"[1, 215, 221, 223]"
0.4,0.6,4,"[4, 566, 576, 579]"
0.4,0.6,8,"[8, 669, 684, 688, 690]"
